,match_id,team1_id,team2_id,winner_id,toss winner,toss decision,match_dt,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,team1_won,team1_player_1,team1_player_2,team1_player_3,team1_player_4,team1_player_5,team1_player_6,team1_player_7,team1_player_8,team1_player_9,team1_player_10,team1_player_11,team2_player_1,team2_player_2,team2_player_3,team2_player_4,team2_player_5,team2_player_6,team2_player_7,team2_player_8,team2_player_9,team2_player_10,team2_player_11
0,9331181,11283,12634,12634,44,1,2022-10-20,7398,1.6666666666666667,0.6721311475409836,139.0,100.0,157.17857142857142,0,9373356,7857520,4232164,4566540,3299407,232000,7883504,8725723,7878989,2526390,8725730,3500958,4231751,2735081,2035102,3698337,5058192,6844718,4566526,6596582,4161975,7952804
1,8797060,20,41,20,138,1,2022-01-23,1406,1.2857142857142858,1.9523809523809523,156.0,50.0,103.5,1,2089079,6139370,2076192,62432,2083409,172199,2022957,1482998,1711492,4507208,3231437,4690258,4069666,4230127,1942317,1613926,2740408,4739552,5744850,4690104,3715697,3468870
2,9433269,10576,8987,10576,81,1,2023-06-02,251,0.8571428571428571,0.6721311475409836,173.26666666666668,0.0,154.33333333333334,1,3298427,2288789,7773338,3519011,3681957,7671313,5320118,2922611,7184232,7661996,6240632,4003390,1749075,1626526,4172447,5516720,7328110,125915,130437,7507303,4420828,5652828
3,9587073,36084,36070,36084,34,0,2023-09-10,14300,2.1666666666666665,1.975609756097561,164.26666666666668,50.0,144.25,1,8127230,4690328,4069666,7960847,4690188,4739580,4739552,5744850,2294823,9266102,284339,3462080,2436405,1798705,7550857,5742470,2740408,3575774,3200756,334963,6399210,6347494
4,9516457,30407,48341,48341,40,1,2023-04-13,7118,0.8181818181818182,1.3278688524590163,164.66666666666666,0.0,189.0,0,8127181,197658,4239038,2398346,5053082,4640824,5038046,8180500,2035102,3851518,7881845,1958683,7491224,8059029,4377610,2252452,2966879,5554254,4690230,3373285,3759846,6496482
5,9457412,42573,40424,40424,18,1,2023-01-09,14188,1.0,1.0,158.44444444444446,50.0,147.93333333333334,0,393371,1594347,9470873,7960847,4403426,2614779,305143,4403503,4731628,2436356,2436776,7864009,4502392,6551978,2820957,2804122,3125506,8072056,7084972,2875354,6149268,393182
6,9292548,27,55,55,46,1,2022-09-25,13880,0.7,1.4878048780487805,141.4,50.0,153.82244608278125,0,7537004,37351,1870357,2275195,4635658,6249256,1611364,5788320,3429236,2656541,2018001,2954769,238727,1776627,3125562,4377610,210328,3882850,2733380,2282125,4377694,3011735
7,9271758,47501,47494,47501,49,0,2022-12-18,7041,0.9090909090909092,1.4878048780487805,156.15384615384616,40.0,129.93333333333334,1,6818622,5490596,6551978,4403545,298612,1634611,3162487,8067002,7968225,8072056,4403573,6517118,4403531,4932864,2214792,7520344,3364234,1594319,305143,2270519,3008179,6686658
8,9331048,12634,14860,12634,106,1,2022-10-18,7398,0.2727272727272727,0.5061728395061729,138.5,0.0,157.69230769230768,1,3500958,4231751,2735081,3698337,5058192,2035102,6844718,8228296,4566526,6596582,8465057,9098571,227793,5977026,8442244,1663885,4192558,6698110,9009265,3691547,2733401,4141556
9,9123162,216,55,55,46,1,2022-06-26,6831,0.3478260869565217,0.5061728395061729,154.26666666666668,0.0,148.5,0,2124002,2123974,7695666,6729862,6496412,2436251,3685100,2921680,2550414,6496482,8609684,3479860,5043310,3125562,4377610,210328,7422673,3882850,2282125,4859490,3011735,8725709
